Contractor,Address,Phone,Fax,Website,Table A Allocation (acre-feet)
Alameda County Flood Control and Water Conservation District Zone 7,"100 North Canyons Parkway, Livermore, CA 94551-9486",(925) 454-5016,(925) 454-5727,http://www.zone7water.com/,80619
Alameda County Water District,"P.O. Box 5110, Fremont, CA 94537-5110",(510) 668-4206,(510) 668-1760,https://www.acwd.org,42000
Antelope Valley-East Kern Water Agency,"6500 West Avenue N, Palmdale, CA 93551-2855",(661) 943-3201,(661) 943-3204,http://www.avek.org,144844
City of Yuba City,"1201 Civic Center Boulevard, Yuba City, CA 95993-3005",(530) 822-4792,(530) 822-4694,https://www.yubacity.net/,9600
Coachella Valley Water District,"P.O. Box 1058, Coachella, CA 92236-1058",(760) 398-2651,(760) 398-3711,https://www.cvwd.org/,138350
County of Butte,"308 Nelson Avenue, Oroville, CA 95965-3398",(530) 538-3595,(530) 538-3807,https://www.buttecounty.net/,27500
County of Kings,"1400 West Lacey Boulevard, Hanford, CA 93230-5962",(559) 992-4127,(559) 992-3891,https://www.countyofkings.com/,9305
Mojave Water Agency,"13846 Conference Center Drive, Apple Valley, CA 92307-4377",(760) 946-7002,(760) 240-2642,http://www.mojavewater.org/,85800
Napa County Flood Control and Water Conservation District,"804 First Street, Napa, CA 94559-2623",(707) 259-8600,(707) 259-8619,https://www.countyofnapa.org/,29025
Plumas County Flood Control and Water Conservation District,"1834 East Main Street, Quincy, CA 95971-9795",(530) 283-6268,(530) 283-6323,https://www.plumascounty.us/,2600
San Bernardino Valley Municipal Water District,"380 East Vanderbilt Way, San Bernardino, CA 92408-3593",(909) 387-9226,(909) 387-9247,https://www.sbvmwd.com/,102600
San Luis Obispo County Flood Control and Water Conservation District,"976 Osos Street, Room 206, San Luis Obispo, CA 93408-1002",(805) 788-2101,(805) 781-1229,https://www.slocounty.ca.gov/,25000
Santa Barbara County Flood Control and Water Conservation District,"130 East Victoria Street, Suite 200, Santa Barbara, CA 93101-2019",(805) 688-2292,(805) 686-4700,https://www.countyofsb.org/,45486
Santa Clara Valley Water District,"5750 Almaden Expressway, San Jose, CA 95118-3686",(408) 630-2346,(408) 979-5640,https://www.valleywater.org/,100000
Santa Clarita Valley Water Agency (formerly Castaic Lake),"27234 Bouquet Canyon Road, Santa Clarita, CA 91350",(661) 297-1600,(661) 297-1611,http://www.clwa.org/,95200
Crestline-Lake Arrowhead Water Agency,"24116 Crest Forest Drive, Crestline, CA 92325",(909) 338-1779,(909) 338-2477,http://www.clawa.org/,5800
Desert Water Agency,"1200 South Gene Autry Trail, Palm Springs, CA 92264",(760) 323-4971,(760) 325-6505,http://www.dwa.org/,55750
Dudley Ridge Water District,"4630 West Jennifer Avenue, Suite 105, Fresno, CA 93722",(559) 241-6238,(559) 241-6277,http://www.dudleyridgewater.com/,45350
Empire West Side Irrigation District,"21937 1st Standard Road, Bakersfield, CA 93314",(661) 589-6689,(661) 589-0319,N/A,3
Kern County Water Agency,"3200 Rio Mirada Drive, Bakersfield, CA 93308",(661) 634-1400,(661) 634-1428,http://www.kcwa.com/,982730
Littlerock Creek Irrigation District,"PO Box 1015, Littlerock, CA 93543",(661) 944-2105,(661) 944-2141,https://www.lcidwater.org/,2900
Metropolitan Water District of Southern California,"700 North Alameda Street, Los Angeles, CA 90012",(213) 217-6000,(213) 217-6980,https://www.mwdh2o.com/,1927000
Palmdale Water District,"2029 East Avenue Q, Palmdale, CA 93550",(661) 947-4111,(661) 947-8604,https://www.palmdalewater.org/,21000
San Gabriel Valley Municipal Water District,"1402 N. Vosburg Drive, Azusa, CA 91702",(626) 969-7911,(626) 812-7351,http://www.sgvmwd.org/,27750
San Gorgonio Pass Water Agency,"1210 Beaumont Avenue, Beaumont, CA 92223",(951) 845-2577,(951) 845-0281,https://www.sgpwa.com/,17100
Solano County Water Agency,"810 Vaca Valley Parkway, Suite 203, Vacaville, CA 95688",(707) 451-6090,(707) 451-6099,http://www.scwa2.com/,47456
Tulare Lake Basin Water Storage District,"1001 Chase Avenue, Corcoran, CA 93212",(559) 992-4127,(559) 992-3891,N/A,30800
Ventura County Flood Control District,"800 South Victoria Avenue, Ventura, CA 93009",(805) 654-2018,(805) 654-3350,https://www.vcpublicworks.org/,20000
Oak Flat Water District,"Post Office Box 1596
Patterson, California 95363-1596",(209) 892-4470,(209) 892-4469,,5700
